07/13/16 16:47:53:081.000  - [434277] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 16:47:53:082.000  - [434277] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/13/16 16:47:53:082.000  - [434277] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/13/16 16:47:53:082.000  - [434277] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/13/16 16:47:53:082.000  - [434277] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/13/16 16:47:53:082.000  - [434277] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/13/16 16:47:53:082.000  - [434277] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/13/16 16:47:53:086.000  - [434277] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/13/16 16:47:53:086.000  - [434277] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/13/16 16:47:53:086.000  - [434277] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 17:28:25:482.000  - [438695] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 17:28:25:482.000  - [438695] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/13/16 17:28:25:482.000  - [438695] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/13/16 17:28:25:482.000  - [438695] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/13/16 17:28:25:482.000  - [438695] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/13/16 17:28:25:482.000  - [438695] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/13/16 17:28:25:482.000  - [438695] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/13/16 17:28:25:486.000  - [438695] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/13/16 17:28:25:486.000  - [438695] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/13/16 17:28:25:486.000  - [438695] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 17:31:34:546.000  - [439877] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 17:31:34:546.000  - [439877] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/13/16 17:31:34:546.000  - [439877] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/13/16 17:31:34:546.000  - [439877] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/13/16 17:31:34:547.000  - [439877] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/13/16 17:31:34:547.000  - [439877] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/13/16 17:31:34:547.000  - [439877] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/13/16 17:31:34:553.000  - [439877] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/13/16 17:31:34:553.000  - [439877] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/13/16 17:31:34:553.000  - [439877] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 18:00:00:392.000  - [443828] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/13/16 18:00:00:392.000  - [443828] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/13/16 18:00:00:392.000  - [443828] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/13/16 18:00:00:392.000  - [443828] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/13/16 18:00:00:392.000  - [443828] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/13/16 18:00:00:392.000  - [443828] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/13/16 18:00:00:392.000  - [443828] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/13/16 18:00:00:397.000  - [443828] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/13/16 18:00:00:397.000  - [443828] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/13/16 18:00:00:397.000  - [443828] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 14:55:02:155.000  - [484542] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 14:55:02:155.000  - [484542] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 14:55:02:155.000  - [484542] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 14:55:02:155.000  - [484542] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/14/16 14:55:02:156.000  - [484542] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 14:55:02:156.000  - [484542] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/14/16 14:55:02:156.000  - [484542] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 14:55:02:159.000  - [484542] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 14:55:02:159.000  - [484542] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 14:55:02:159.000  - [484542] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 15:17:10:247.000  - [487975] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 15:17:10:247.000  - [487975] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 15:17:10:247.000  - [487975] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 15:17:10:247.000  - [487975] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/14/16 15:17:10:247.000  - [487975] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 15:17:10:247.000  - [487975] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/14/16 15:17:10:247.000  - [487975] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 15:17:10:250.000  - [487975] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 15:17:10:250.000  - [487975] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 15:17:10:251.000  - [487975] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 15:36:05:586.000  - [490945] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 15:36:05:586.000  - [490945] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
